Bact_name	Contig	file1	ANI	Min_ANI	Best_match	Best_match_ANI	result
Lawsonella_clevelandensis	GCA_003241315.1_ASM324131v1_contig.fna	Lawsonella_clevelandensis-GCA_001281505.1_ASM128150v1_genomic.fna	79.7239	83.10665857295756	Lawsonella_clevelandensis-GCA_943913485.1_EnXku9qFgY_bin.1.MAG_contig.fna	99.9199	match
Lawsonella_clevelandensis	GCA_943913485.1_EnXku9qFgY_bin.1.MAG_contig.fna	Lawsonella_clevelandensis-GCA_001281505.1_ASM128150v1_genomic.fna	79.6802	83.10665857295756	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	99.9179	match
Lawsonella_clevelandensis	GCA_943913485.1_EnXku9qFgY_bin.1.MAG_contig.fna	Lawsonella_clevelandensis-GCA_001293125.1_ASM129312v1_genomic.fna	79.6445	83.10665857295756	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	99.9179	match
Lawsonella_clevelandensis	GCA_003241315.1_ASM324131v1_contig.fna	Lawsonella_clevelandensis-GCA_001293125.1_ASM129312v1_genomic.fna	79.4644	83.10665857295756	Lawsonella_clevelandensis-GCA_943913485.1_EnXku9qFgY_bin.1.MAG_contig.fna	99.9199	match
Lawsonella_clevelandensis	GCF_001293125.1_ASM129312v1_genomic.fna	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	79.6409	83.10665857295756	Lawsonella_clevelandensis-GCA_001293125.1_ASM129312v1_genomic.fna	100.0	match
Lawsonella_clevelandensis	GCA_001293125.1_ASM129312v1_genomic.fna	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	79.6409	83.10665857295756	Lawsonella_clevelandensis-GCF_001293125.1_ASM129312v1_genomic.fna	100.0	match
Lawsonella_clevelandensis	GCF_001281505.1_ASM128150v1_genomic.fna	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	79.6297	83.10665857295756	Lawsonella_clevelandensis-GCA_001281505.1_ASM128150v1_genomic.fna	100.0	match
Lawsonella_clevelandensis	GCA_001281505.1_ASM128150v1_genomic.fna	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	79.6297	83.10665857295756	Lawsonella_clevelandensis-GCF_001281505.1_ASM128150v1_genomic.fna	100.0	match
Lawsonella_clevelandensis	GCA_905373635.1_SRR9217479	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	79.557	83.10665857295756	Lawsonella_clevelandensis-GCA_001293125.1_ASM129312v1_genomic.fna	99.386	match
Lawsonella_clevelandensis	GCA_900610365.2_603019	Lawsonella_clevelandensis-GCA_003241315.1_ASM324131v1_contig.fna	79.5285	83.10665857295756	Lawsonella_clevelandensis-GCF_900610365.1_603019-18_chrom.fna	99.9915	match
